# race_id	signature
TSAN-0012	Modules/faulthandler.c:faulthandler_disable | Modules/faulthandler.c:faulthandler_is_enabled_impl
TSAN-0012	Modules/faulthandler.c:faulthandler_disable | Modules/faulthandler.c:faulthandler_py_enable_impl
TSAN-0012	Modules/faulthandler.c:faulthandler_disable_py_impl | Modules/faulthandler.c:faulthandler_enable
TSAN-0012	Modules/faulthandler.c:faulthandler_enable | Modules/faulthandler.c:faulthandler_is_enabled_impl
TSAN-0013	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ptr_release | Modules/_elementtree.c:_elementtree_XMLParser__setevents_impl
TSAN-0013	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ptr_release | Objects/bytearrayobject.c:bytearray___init___impl
TSAN-0013	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ptr_release | Objects/stringlib/join.h:stringlib_bytes_join
TSAN-0013	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ssize_relaxed | Include/object.h:_Py_SIZE_impl
TSAN-0013	Modules/_elementtree.c:_elementtree_XMLParser__setevents_impl | Objects/listobject.c:list_resize
TSAN-0013	Objects/bytearrayobject.c:bytearray___init___impl | Objects/listobject.c:list_resize
TSAN-0013	Objects/listobject.c:list_resize | Objects/stringlib/join.h:stringlib_bytes_join
TSAN-0014	Include/cpython/pyatomic_gcc.h:_Py_atomic_load_ptr | Objects/listobject.c:binarysort
TSAN-0014	Include/cpython/pyatomic_gcc.h:_Py_atomic_load_ptr | Objects/listobject.c:sortslice_copy_decr
TSAN-0014	Include/cpython/pyatomic_gcc.h:_Py_atomic_load_ptr | Objects/listobject.c:sortslice_copy_incr
TSAN-0014	Include/cpython/pyatomic_gcc.h:_Py_atomic_load_ptr | Objects/listobject.c:sortslice_memmove
TSAN-0015	Objects/odictobject.c:_odict_clear_nodes | Objects/odictobject.c:odictiter_new
TSAN-0016	Modules/readline.c:readline_get_completer_impl | Modules/readline.c:set_hook
TSAN-0018	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ssize_relaxed | Objects/dictobject.c:_PyDict_Next
TSAN-0018	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ssize_relaxed | Objects/dictobject.c:clear_lock_held
TSAN-0018	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ssize_relaxed | Objects/typeobject.c:object_getstate_default
TSAN-0019	Modules/_decimal/_decimal.c:_decimal_Context_clear_flags_impl | Modules/_decimal/_decimal.c:context_copy
TSAN-0019	Modules/_decimal/_decimal.c:_decimal_Context_clear_flags_impl | Modules/_decimal/_decimal.c:context_repr
TSAN-0019	Modules/_decimal/_decimal.c:_decimal_Context_clear_traps_impl | Modules/_decimal/_decimal.c:context_copy
TSAN-0019	Modules/_decimal/_decimal.c:_decimal_Context_clear_traps_impl | Modules/_decimal/_decimal.c:context_repr
TSAN-0019	Modules/_decimal/_decimal.c:_decimal_Context_clear_traps_impl | Objects/typeobject.c:type_call
TSAN-0019	Modules/_decimal/_decimal.c:_decimal_Decimal_quantize_impl | Modules/_decimal/_decimal.c:dec_addstatus
TSAN-0019	Modules/_decimal/_decimal.c:_decimal_Decimal_to_integral_value_impl | Modules/_decimal/_decimal.c:dec_addstatus
TSAN-0019	Modules/_decimal/_decimal.c:context_repr | Modules/_decimal/_decimal.c:dec_addstatus
TSAN-0019	Modules/_decimal/_decimal.c:dec_addstatus | Modules/_decimal/_decimal.c:dec_addstatus
TSAN-0019	Modules/_decimal/_decimal.c:dec_addstatus | Modules/_decimal/_decimal.c:dec_as_long
TSAN-0023	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ptr | Objects/typeobject.c:subtype_getweakref
TSAN-0023	Objects/typeobject.c:subtype_getweakref | Objects/weakrefobject.c:clear_weakref_lock_held
TSAN-0023	Objects/typeobject.c:subtype_getweakref | Objects/weakrefobject.c:insert_head
TSAN-0024	Modules/_io/fileio.c:_io_FileIO___init___impl | Python/fileutils.c:_Py_fstat_noraise
TSAN-0024	Modules/_io/fileio.c:_io_FileIO___init___impl | Python/fileutils.c:_Py_read
TSAN-0024	Modules/_io/fileio.c:internal_close | Modules/posixmodule.c:posix_do_stat
TSAN-0024	Modules/_io/fileio.c:internal_close | Python/fileutils.c:_Py_fstat_noraise
TSAN-0024	Modules/_io/fileio.c:internal_close | Python/fileutils.c:_Py_read
TSAN-0024	Modules/selectmodule.c:pyepoll_internal_close | Modules/selectmodule.c:select_epoll_fileno_impl
TSAN-0024	Modules/selectmodule.c:pyepoll_internal_close | Modules/selectmodule.c:select_epoll_poll_impl
TSAN-0024	Modules/selectmodule.c:select_epoll_unregister_impl | Modules/socketmodule.c:_socket_socket_close_impl
TSAN-0025	Modules/readline.c:readline_set_auto_history_impl | Modules/readline.c:readline_set_auto_history_impl
TSAN-0026	Include/cpython/pyatomic_gcc.h:_Py_atomic_load_ssize_relaxed | Objects/dictobject.c:dictiter_iternextitem_lock_held
TSAN-0026	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ptr_release | Objects/dictobject.c:dictiter_iternext_threadsafe
TSAN-0026	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ptr_release | Objects/dictobject.c:get_index_from_order
TSAN-0026	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ssize_relaxed | Objects/dictobject.c:dictiter_iternextitem_lock_held
TSAN-0026	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ssize_relaxed | Objects/dictobject.c:get_index_from_order
TSAN-0026	Objects/dictobject.c:dictiter_iternext_threadsafe | Objects/dictobject.c:dictiter_iternext_threadsafe
TSAN-0026	Objects/dictobject.c:dictiter_iternext_threadsafe | Objects/dictobject.c:dictiter_iternextkey
TSAN-0026	Objects/dictobject.c:dictiter_iternext_threadsafe | Objects/dictobject.c:dictiter_len
TSAN-0027	Objects/typeobject.c:add_subclass | Objects/typeobject.c:clear_tp_subclasses
TSAN-0028	Include/cpython/pyatomic_gcc.h:_Py_atomic_store_ullong_relaxed | Modules/_threadmodule.c:rlock_repr
